avf;avl;avr;i;ii;iii;v1;v2;v3;v4;v5;v6
3.84;0.712;-1.131;-2.412;1.964;-0.219;-3.154;-2.99;-3.497;-4.239;1.435;6.366
4.065;1.337;-0.732;-2.837;1.876;0.294;-3.533;-3.124;-3.167;-3.618;2.15;7.069
4.634;1.611;-1.026;-3.258;2.307;0.284;-3.712;-2.582;-2.379;-2.804;2.516;7.376
4.487;1.631;-0.859;-3.193;2.15;0.379;-3.503;-2.523;-2.516;-2.961;2.373;7.124
3.958;1.284;-0.676;-2.755;1.794;0.294;-3.137;-2.771;-2.984;-3.565;1.925;6.627
3.542;0.984;-0.562;-2.399;1.529;0.203;-2.958;-3.039;-3.467;-4.131;1.582;6.317
3.441;0.873;-0.572;-2.291;1.484;0.141;-2.961;-3.186;-3.686;-4.343;1.471;6.225
3.516;0.856;-0.663;-2.32;1.569;0.088;-3.052;-3.271;-3.804;-4.405;1.428;6.219
3.585;0.935;-0.654;-2.395;1.598;0.131;-3.137;-3.34;-3.843;-4.412;1.474;6.291
3.624;0.938;-0.69;-2.415;1.634;0.114;-3.147;-3.356;-3.833;-4.415;1.487;6.288
3.614;0.922;-0.696;-2.402;1.634;0.105;-3.127;-3.356;-3.801;-4.418;1.516;6.307
3.683;0.935;-0.752;-2.444;1.696;0.082;-3.121;-3.343;-3.775;-4.415;1.526;6.317
3.601;0.908;-0.696;-2.389;1.627;0.098;-3.124;-3.366;-3.781;-4.438;1.497;6.291
3.67;0.967;-0.706;-2.454;1.667;0.121;-3.144;-3.386;-3.784;-4.451;1.529;6.333
3.637;0.964;-0.676;-2.435;1.634;0.134;-3.144;-3.373;-3.768;-4.451;1.552;6.353
3.703;1.029;-0.676;-2.5;1.667;0.167;-3.196;-3.386;-3.788;-4.467;1.592;6.399
3.791;1.026;-0.768;-2.542;1.758;0.121;-3.297;-3.415;-3.84;-4.516;1.572;6.376
3.804;0.98;-0.827;-2.526;1.794;0.069;-3.356;-3.451;-3.892;-4.578;1.549;6.363
3.775;1.046;-0.732;-2.546;1.732;0.147;-3.382;-3.418;-3.837;-4.523;1.618;6.425
3.765;1.095;-0.673;-2.565;1.696;0.203;-3.415;-3.389;-3.794;-4.49;1.641;6.444
3.693;1.059;-0.637;-2.51;1.644;0.203;-3.379;-3.386;-3.788;-4.5;1.598;6.399
3.667;1.069;-0.601;-2.503;1.611;0.225;-3.363;-3.379;-3.81;-4.516;1.585;6.395
3.742;1.088;-0.657;-2.549;1.676;0.206;-3.324;-3.337;-3.801;-4.51;1.598;6.422
3.725;1.072;-0.657;-2.533;1.67;0.199;-3.304;-3.317;-3.824;-4.52;1.562;6.389
3.722;1.042;-0.683;-2.516;1.68;0.17;-3.301;-3.327;-3.837;-4.529;1.549;6.373
3.66;0.98;-0.683;-2.454;1.65;0.141;-3.245;-3.327;-3.833;-4.52;1.536;6.363
3.654;0.964;-0.693;-2.444;1.65;0.127;-3.19;-3.288;-3.794;-4.477;1.569;6.389
3.657;0.846;-0.814;-2.386;1.712;0.007;-3.212;-3.35;-3.853;-4.52;1.503;6.31
3.712;0.846;-0.869;-2.415;1.768;-0.02;-3.232;-3.366;-3.866;-4.497;1.493;6.291
3.722;0.951;-0.775;-2.471;1.725;0.078;-3.212;-3.356;-3.863;-4.441;1.533;6.314
3.663;0.948;-0.719;-2.441;1.67;0.105;-3.232;-3.402;-3.905;-4.461;1.471;6.229
3.703;1;-0.706;-2.487;1.683;0.137;-3.225;-3.392;-3.889;-4.448;1.493;6.248
3.696;1.023;-0.676;-2.493;1.663;0.163;-3.232;-3.402;-3.905;-4.454;1.467;6.229
3.69;0.997;-0.696;-2.477;1.67;0.141;-3.248;-3.408;-3.895;-4.464;1.467;6.235
3.667;1.016;-0.654;-2.477;1.637;0.173;-3.278;-3.428;-3.902;-4.477;1.48;6.261
3.667;1.013;-0.657;-2.474;1.641;0.17;-3.281;-3.422;-3.899;-4.48;1.477;6.268
3.69;1.069;-0.624;-2.513;1.634;0.212;-3.294;-3.428;-3.895;-4.477;1.48;6.281
3.686;1.059;-0.631;-2.507;1.637;0.206;-3.294;-3.418;-3.895;-4.471;1.48;6.278
3.65;1.049;-0.605;-2.484;1.605;0.212;-3.301;-3.425;-3.908;-4.493;1.441;6.255
3.673;1.049;-0.627;-2.497;1.627;0.203;-3.294;-3.418;-3.912;-4.493;1.431;6.248
3.696;1.059;-0.641;-2.513;1.647;0.199;-3.294;-3.412;-3.895;-4.484;1.422;6.239
3.68;1.023;-0.66;-2.487;1.647;0.173;-3.301;-3.408;-3.895;-4.49;1.422;6.235
3.67;1.033;-0.641;-2.487;1.634;0.186;-3.297;-3.408;-3.889;-4.484;1.451;6.275
3.686;1.069;-0.621;-2.513;1.631;0.216;-3.297;-3.402;-3.876;-4.474;1.448;6.275
3.703;1.069;-0.637;-2.52;1.647;0.206;-3.314;-3.402;-3.869;-4.464;1.438;6.271
3.699;1.046;-0.657;-2.507;1.657;0.186;-3.32;-3.402;-3.866;-4.454;1.454;6.291
3.686;1.072;-0.618;-2.513;1.631;0.219;-3.32;-3.389;-3.853;-4.441;1.48;6.314
3.716;1.098;-0.621;-2.542;1.647;0.229;-3.327;-3.376;-3.843;-4.428;1.484;6.327
3.69;1.114;-0.578;-2.536;1.611;0.258;-3.327;-3.346;-3.814;-4.418;1.526;6.363
3.833;1.17;-0.667;-2.637;1.729;0.242;-3.399;-3.373;-3.824;-4.441;1.523;6.363
3.745;1.183;-0.565;-2.598;1.634;0.301;-3.392;-3.324;-3.758;-4.356;1.572;6.428
3.856;1.294;-0.565;-2.709;1.69;0.356;-3.425;-3.278;-3.696;-4.275;1.556;6.392
3.938;1.304;-0.637;-2.755;1.765;0.324;-3.444;-3.219;-3.611;-4.18;1.585;6.402
3.928;1.261;-0.67;-2.729;1.778;0.288;-3.461;-3.176;-3.552;-4.111;1.595;6.402
3.915;1.261;-0.657;-2.722;1.765;0.294;-3.428;-3.124;-3.48;-4.042;1.654;6.431
3.964;1.288;-0.68;-2.761;1.801;0.294;-3.422;-3.131;-3.467;-4.033;1.676;6.441
3.853;1.186;-0.67;-2.654;1.739;0.248;-3.395;-3.144;-3.484;-4.033;1.686;6.441
3.856;1.193;-0.667;-2.66;1.739;0.255;-3.379;-3.173;-3.533;-4.046;1.66;6.412
3.833;1.186;-0.65;-2.644;1.719;0.258;-3.363;-3.216;-3.601;-4.098;1.631;6.373
3.886;1.209;-0.68;-2.683;1.761;0.255;-3.356;-3.252;-3.667;-4.17;1.578;6.333
3.712;1.098;-0.618;-2.539;1.644;0.232;-3.363;-3.294;-3.712;-4.261;1.533;6.284
3.742;1.121;-0.624;-2.565;1.66;0.239;-3.359;-3.327;-3.771;-4.333;1.516;6.265
3.722;1.105;-0.621;-2.549;1.65;0.232;-3.34;-3.343;-3.804;-4.402;1.461;6.229
3.657;1.105;-0.556;-2.516;1.585;0.265;-3.327;-3.35;-3.81;-4.444;1.438;6.203
3.752;1.111;-0.644;-2.565;1.676;0.225;-3.353;-3.392;-3.879;-4.516;1.415;6.176
3.641;1.092;-0.552;-2.5;1.575;0.261;-3.304;-3.363;-3.873;-4.503;1.454;6.216
3.709;1.082;-0.631;-2.529;1.647;0.216;-3.324;-3.392;-3.873;-4.533;1.451;6.199
3.66;1.111;-0.552;-2.52;1.585;0.271;-3.297;-3.376;-3.827;-4.51;1.487;6.235
3.693;1.105;-0.592;-2.533;1.621;0.248;-3.307;-3.392;-3.853;-4.536;1.493;6.242
3.68;1.056;-0.627;-2.503;1.631;0.206;-3.32;-3.392;-3.856;-4.546;1.425;6.206
3.667;1.098;-0.572;-2.516;1.598;0.255;-3.337;-3.402;-3.866;-4.559;1.376;6.154
3.624;1.098;-0.529;-2.497;1.556;0.275;-3.337;-3.412;-3.859;-4.565;1.376;6.173
3.608;1.059;-0.552;-2.467;1.559;0.245;-3.353;-3.448;-3.892;-4.592;1.366;6.144
3.641;1.137;-0.507;-2.523;1.552;0.307;-3.314;-3.405;-3.84;-4.536;1.422;6.199
3.634;1.108;-0.529;-2.507;1.559;0.281;-3.314;-3.418;-3.856;-4.556;1.373;6.176
3.65;1.141;-0.513;-2.529;1.559;0.304;-3.327;-3.441;-3.899;-4.601;1.337;6.147
3.605;1.147;-0.461;-2.51;1.51;0.333;-3.343;-3.461;-3.918;-4.621;1.353;6.163
3.588;1.232;-0.359;-2.546;1.451;0.428;-3.346;-3.474;-3.925;-4.637;1.353;6.167
3.729;1.435;-0.297;-2.716;1.49;0.559;-3.379;-3.503;-3.967;-4.673;1.327;6.157
3.614;1.484;-0.134;-2.683;1.353;0.667;-3.487;-3.605;-4.127;-4.824;1.176;6.052
3.696;1.487;-0.212;-2.725;1.431;0.627;-3.382;-3.51;-4.121;-4.817;1.147;6.072
3.876;1.301;-0.578;-2.722;1.706;0.353;-3.327;-3.284;-3.958;-4.647;1.219;6.163
3.987;1.69;-0.301;-2.974;1.621;0.686;-3.654;-3.415;-3.732;-4.206;1.807;6.765
4.418;2.18;-0.242;-3.435;1.807;0.961;-3.886;-3.01;-2.869;-3.229;2.428;7.31
4.549;2.049;-0.503;-3.435;2.003;0.765;-3.735;-2.676;-2.654;-3.095;2.399;7.157
4.059;1.663;-0.399;-2.997;1.706;0.624;-3.382;-2.863;-3.095;-3.657;1.928;6.634
3.644;1.258;-0.389;-2.585;1.493;0.425;-3.212;-3.173;-3.654;-4.324;1.451;6.173
3.526;1.036;-0.493;-2.415;1.487;0.261;-3.173;-3.288;-3.807;-4.533;1.34;6.082
3.556;0.905;-0.654;-2.366;1.582;0.118;-3.242;-3.34;-3.817;-4.529;1.369;6.15
3.631;0.817;-0.817;-2.359;1.703;-0.01;-3.314;-3.373;-3.817;-4.48;1.467;6.255
3.614;0.732;-0.886;-2.307;1.729;-0.085;-3.275;-3.33;-3.758;-4.415;1.539;6.32
3.637;0.69;-0.951;-2.297;1.771;-0.141;-3.245;-3.307;-3.709;-4.373;1.572;6.346
3.595;0.618;-0.98;-2.242;1.765;-0.19;-3.212;-3.271;-3.657;-4.327;1.618;6.389
3.611;0.552;-1.062;-2.216;1.814;-0.265;-3.199;-3.248;-3.65;-4.288;1.585;6.382
3.565;0.451;-1.118;-2.144;1.82;-0.343;-3.173;-3.212;-3.618;-4.229;1.614;6.425
3.725;0.474;-1.255;-2.235;1.967;-0.399;-3.167;-3.17;-3.549;-4.147;1.722;6.533
3.69;0.35;-1.343;-2.154;1.993;-0.507;-3.163;-3.147;-3.513;-4.105;1.771;6.598
3.709;0.412;-1.301;-2.196;1.984;-0.454;-3.235;-3.173;-3.526;-4.121;1.778;6.614
3.824;0.801;-1.026;-2.448;1.902;-0.121;-3.418;-3.34;-3.693;-4.271;1.641;6.503
3.791;1.042;-0.752;-2.552;1.748;0.137;-3.542;-3.441;-3.771;-4.337;1.588;6.448
3.83;1.206;-0.627;-2.654;1.706;0.281;-3.572;-3.444;-3.765;-4.32;1.601;6.444
3.725;1.242;-0.487;-2.618;1.585;0.369;-3.516;-3.435;-3.771;-4.327;1.513;6.389
3.748;1.252;-0.5;-2.634;1.601;0.366;-3.484;-3.454;-3.807;-4.346;1.513;6.379
3.709;1.242;-0.471;-2.611;1.569;0.376;-3.441;-3.422;-3.791;-4.337;1.569;6.422
3.735;1.222;-0.516;-2.614;1.605;0.343;-3.428;-3.412;-3.801;-4.359;1.539;6.405
3.67;1.261;-0.412;-2.601;1.52;0.415;-3.399;-3.382;-3.801;-4.376;1.542;6.415
3.703;1.261;-0.444;-2.618;1.552;0.399;-3.386;-3.373;-3.807;-4.402;1.572;6.412
3.683;1.183;-0.503;-2.569;1.572;0.33;-3.389;-3.392;-3.843;-4.448;1.493;6.324
3.67;1.242;-0.431;-2.592;1.529;0.395;-3.369;-3.366;-3.817;-4.428;1.542;6.373
3.667;1.252;-0.418;-2.595;1.52;0.408;-3.346;-3.337;-3.791;-4.418;1.575;6.405
3.654;1.209;-0.448;-2.565;1.529;0.373;-3.366;-3.366;-3.807;-4.461;1.497;6.304
3.699;1.252;-0.451;-2.611;1.552;0.392;-3.389;-3.389;-3.807;-4.471;1.507;6.32
3.696;1.219;-0.48;-2.592;1.565;0.359;-3.363;-3.369;-3.797;-4.467;1.529;6.33
3.667;1.235;-0.435;-2.585;1.529;0.392;-3.343;-3.359;-3.788;-4.477;1.513;6.324
3.65;1.252;-0.402;-2.585;1.503;0.415;-3.34;-3.356;-3.804;-4.497;1.513;6.333
3.621;1.196;-0.428;-2.542;1.503;0.376;-3.353;-3.366;-3.82;-4.507;1.556;6.369
3.676;1.212;-0.467;-2.578;1.549;0.363;-3.356;-3.35;-3.827;-4.513;1.51;6.34
3.549;1.134;-0.418;-2.477;1.461;0.35;-3.386;-3.392;-3.889;-4.549;1.493;6.32
3.716;1.193;-0.526;-2.588;1.598;0.324;-3.399;-3.405;-3.915;-4.513;1.52;6.369
3.69;1.203;-0.49;-2.582;1.569;0.346;-3.399;-3.399;-3.931;-4.497;1.48;6.337
3.637;1.199;-0.441;-2.552;1.516;0.369;-3.389;-3.392;-3.925;-4.493;1.484;6.34
3.634;1.199;-0.438;-2.552;1.513;0.373;-3.405;-3.405;-3.938;-4.497;1.507;6.395
3.66;1.252;-0.412;-2.592;1.513;0.412;-3.402;-3.399;-3.915;-4.484;1.487;6.395
3.657;1.271;-0.389;-2.598;1.5;0.431;-3.441;-3.425;-3.931;-4.487;1.458;6.386
3.683;1.288;-0.399;-2.621;1.52;0.435;-3.448;-3.451;-3.931;-4.471;1.5;6.399
3.667;1.327;-0.343;-2.631;1.484;0.484;-3.451;-3.448;-3.908;-4.438;1.497;6.405
3.614;1.275;-0.343;-2.578;1.458;0.458;-3.408;-3.422;-3.876;-4.395;1.516;6.425
3.709;1.248;-0.464;-2.614;1.565;0.382;-3.428;-3.435;-3.866;-4.392;1.487;6.425
3.654;1.281;-0.376;-2.601;1.493;0.444;-3.422;-3.422;-3.85;-4.382;1.513;6.415
3.801;1.359;-0.444;-2.716;1.601;0.448;-3.454;-3.408;-3.82;-4.35;1.507;6.412
3.742;1.392;-0.353;-2.703;1.526;0.51;-3.48;-3.392;-3.771;-4.307;1.523;6.431
3.771;1.412;-0.363;-2.725;1.546;0.516;-3.546;-3.382;-3.716;-4.258;1.575;6.461
3.81;1.454;-0.359;-2.768;1.562;0.539;-3.526;-3.265;-3.556;-4.105;1.618;6.477
3.863;1.474;-0.392;-2.804;1.605;0.533;-3.526;-3.163;-3.412;-3.961;1.67;6.51
3.879;1.428;-0.454;-2.788;1.644;0.477;-3.497;-3.075;-3.278;-3.84;1.739;6.556
3.925;1.412;-0.516;-2.804;1.699;0.438;-3.484;-3.026;-3.212;-3.788;1.742;6.542
3.869;1.34;-0.533;-2.739;1.68;0.395;-3.454;-3.02;-3.199;-3.824;1.768;6.569
3.863;1.235;-0.631;-2.683;1.725;0.294;-3.412;-3.013;-3.19;-3.837;1.81;6.601
3.833;1.163;-0.673;-2.634;1.732;0.235;-3.412;-3.065;-3.235;-3.879;1.761;6.559
3.761;1.245;-0.52;-2.637;1.618;0.353;-3.395;-3.114;-3.252;-3.944;1.732;6.546
3.735;1.275;-0.464;-2.641;1.578;0.395;-3.402;-3.193;-3.386;-4.036;1.69;6.5
3.725;1.258;-0.471;-2.627;1.575;0.386;-3.418;-3.271;-3.52;-4.157;1.634;6.451
3.725;1.294;-0.435;-2.644;1.559;0.422;-3.402;-3.291;-3.585;-4.206;1.582;6.402
3.699;1.288;-0.415;-2.627;1.536;0.428;-3.382;-3.314;-3.65;-4.239;1.549;6.366
3.683;1.248;-0.438;-2.601;1.539;0.395;-3.359;-3.324;-3.69;-4.255;1.562;6.389
3.709;1.183;-0.529;-2.582;1.598;0.317;-3.34;-3.337;-3.761;-4.284;1.523;6.333
3.699;1.199;-0.503;-2.585;1.578;0.34;-3.327;-3.343;-3.768;-4.301;1.556;6.363
3.686;1.203;-0.487;-2.578;1.565;0.35;-3.307;-3.346;-3.765;-4.32;1.569;6.366
3.663;1.18;-0.487;-2.556;1.552;0.337;-3.304;-3.35;-3.758;-4.356;1.536;6.333
3.673;1.144;-0.533;-2.542;1.582;0.297;-3.327;-3.379;-3.771;-4.379;1.539;6.337
3.673;1.095;-0.582;-2.52;1.605;0.248;-3.304;-3.363;-3.752;-4.373;1.542;6.343
3.673;1.088;-0.588;-2.516;1.608;0.242;-3.304;-3.373;-3.768;-4.402;1.51;6.317
3.657;1.088;-0.572;-2.507;1.592;0.248;-3.32;-3.389;-3.791;-4.435;1.5;6.307
3.614;1.111;-0.507;-2.497;1.539;0.294;-3.33;-3.395;-3.814;-4.461;1.513;6.32
3.572;1.127;-0.448;-2.484;1.487;0.33;-3.324;-3.382;-3.827;-4.49;1.52;6.333
3.631;1.147;-0.487;-2.523;1.536;0.32;-3.359;-3.415;-3.869;-4.552;1.484;6.31
3.608;1.15;-0.461;-2.513;1.513;0.337;-3.346;-3.405;-3.882;-4.575;1.503;6.324
3.709;1.131;-0.582;-2.556;1.624;0.265;-3.382;-3.435;-3.928;-4.631;1.451;6.275
3.657;1.111;-0.549;-2.52;1.582;0.271;-3.392;-3.448;-3.941;-4.641;1.461;6.297
3.654;1.137;-0.52;-2.529;1.565;0.301;-3.382;-3.435;-3.935;-4.631;1.497;6.343
3.748;1.118;-0.634;-2.569;1.67;0.232;-3.428;-3.451;-3.971;-4.67;1.461;6.353
3.81;1.088;-0.725;-2.585;1.745;0.173;-3.32;-3.288;-3.859;-4.601;1.444;6.359
3.931;0.869;-1.065;-2.536;1.977;-0.108;-3.333;-3.131;-3.768;-4.556;1.386;6.337
4.141;1.546;-0.598;-2.977;1.846;0.467;-3.755;-3.33;-3.536;-4.062;2.033;7.003
4.667;1.801;-0.869;-3.369;2.245;0.458;-3.951;-2.889;-2.863;-3.304;2.359;7.265
4.536;1.788;-0.752;-3.297;2.121;0.51;-3.725;-2.775;-2.886;-3.327;2.324;7.101
3.987;1.418;-0.572;-2.837;1.758;0.415;-3.373;-2.941;-3.281;-3.856;1.895;6.608
3.611;1.088;-0.526;-2.484;1.546;0.271;-3.229;-3.19;-3.748;-4.405;1.503;6.242
3.533;1.056;-0.48;-2.428;1.484;0.278;-3.245;-3.324;-3.912;-4.588;1.363;6.127
3.627;1.036;-0.595;-2.467;1.588;0.212;-3.343;-3.408;-3.977;-4.611;1.359;6.173
3.65;1.092;-0.562;-2.507;1.585;0.255;-3.444;-3.5;-4.01;-4.582;1.425;6.275
3.69;1.147;-0.546;-2.552;1.595;0.291;-3.461;-3.51;-4.007;-4.549;1.435;6.291
3.663;1.144;-0.523;-2.539;1.572;0.301;-3.451;-3.513;-4.01;-4.533;1.425;6.288
3.686;1.19;-0.5;-2.572;1.572;0.337;-3.464;-3.526;-4.003;-4.52;1.454;6.324
3.67;1.19;-0.484;-2.565;1.556;0.343;-3.458;-3.529;-3.99;-4.51;1.431;6.31
3.709;1.232;-0.48;-2.605;1.572;0.366;-3.467;-3.529;-3.967;-4.497;1.454;6.337
3.716;1.307;-0.412;-2.647;1.542;0.438;-3.497;-3.546;-3.974;-4.503;1.477;6.369
3.755;1.356;-0.402;-2.69;1.556;0.467;-3.52;-3.542;-3.964;-4.503;1.5;6.399
3.866;1.395;-0.474;-2.765;1.647;0.451;-3.601;-3.569;-3.974;-4.526;1.474;6.386
3.82;1.337;-0.487;-2.712;1.631;0.415;-3.631;-3.601;-3.997;-4.549;1.435;6.359
3.882;1.405;-0.48;-2.778;1.66;0.454;-3.641;-3.546;-3.925;-4.467;1.51;6.431
3.882;1.425;-0.461;-2.788;1.65;0.474;-3.631;-3.516;-3.886;-4.412;1.542;6.461
3.837;1.415;-0.425;-2.761;1.608;0.487;-3.562;-3.51;-3.892;-4.408;1.52;6.425
3.771;1.386;-0.389;-2.712;1.559;0.49;-3.533;-3.5;-3.889;-4.408;1.497;6.425
3.758;1.369;-0.392;-2.699;1.552;0.48;-3.493;-3.484;-3.882;-4.402;1.51;6.425
3.797;1.301;-0.5;-2.683;1.627;0.392;-3.507;-3.507;-3.912;-4.435;1.458;6.386
3.732;1.33;-0.405;-2.667;1.546;0.454;-3.454;-3.471;-3.895;-4.415;1.477;6.412
3.742;1.297;-0.448;-2.654;1.572;0.415;-3.431;-3.484;-3.925;-4.441;1.441;6.379
3.69;1.245;-0.448;-2.601;1.546;0.389;-3.431;-3.51;-3.971;-4.467;1.428;6.363
3.706;1.248;-0.461;-2.611;1.562;0.386;-3.412;-3.487;-3.918;-4.444;1.484;6.408
3.771;1.255;-0.52;-2.647;1.624;0.359;-3.379;-3.464;-3.879;-4.428;1.474;6.408
3.748;1.291;-0.461;-2.654;1.582;0.405;-3.379;-3.477;-3.879;-4.438;1.458;6.382
3.699;1.219;-0.484;-2.595;1.569;0.359;-3.369;-3.484;-3.879;-4.448;1.451;6.376
3.748;1.248;-0.503;-2.634;1.605;0.363;-3.382;-3.5;-3.876;-4.454;1.451;6.363
3.631;1.203;-0.431;-2.552;1.51;0.376;-3.353;-3.477;-3.843;-4.438;1.425;6.34
3.869;1.317;-0.556;-2.729;1.69;0.373;-3.399;-3.51;-3.869;-4.454;1.422;6.327
3.66;1.222;-0.441;-2.575;1.529;0.382;-3.405;-3.533;-3.876;-4.471;1.418;6.307
3.624;1.203;-0.425;-2.549;1.503;0.379;-3.418;-3.552;-3.879;-4.484;1.441;6.307
3.745;1.245;-0.503;-2.631;1.601;0.363;-3.425;-3.549;-3.863;-4.49;1.395;6.252
3.801;1.346;-0.458;-2.709;1.608;0.435;-3.422;-3.533;-3.797;-4.497;1.369;6.242
