avf;avl;avr;i;ii;iii;v1;v2;v3;v4;v5;v6
3.686;1.533;-0.157;-2.745;1.399;0.68;-3.448;-3.471;-3.618;-4.222;1.618;6.484
3.712;1.513;-0.203;-2.748;1.435;0.647;-3.464;-3.48;-3.608;-4.216;1.608;6.474
3.797;1.484;-0.317;-2.775;1.536;0.575;-3.477;-3.471;-3.585;-4.196;1.598;6.48
3.742;1.422;-0.324;-2.716;1.51;0.539;-3.477;-3.451;-3.549;-4.16;1.624;6.516
3.775;1.389;-0.389;-2.716;1.559;0.49;-3.48;-3.428;-3.529;-4.141;1.611;6.487
3.784;1.405;-0.382;-2.729;1.562;0.503;-3.474;-3.408;-3.507;-4.124;1.644;6.51
3.719;1.337;-0.386;-2.663;1.529;0.467;-3.461;-3.392;-3.477;-4.121;1.66;6.516
3.755;1.288;-0.471;-2.657;1.592;0.399;-3.461;-3.379;-3.464;-4.098;1.68;6.539
3.758;1.278;-0.484;-2.654;1.598;0.389;-3.444;-3.363;-3.428;-4.085;1.69;6.552
3.807;1.369;-0.441;-2.722;1.601;0.454;-3.461;-3.363;-3.412;-4.092;1.673;6.546
3.85;1.444;-0.408;-2.781;1.608;0.51;-3.503;-3.402;-3.441;-4.111;1.667;6.542
3.889;1.539;-0.353;-2.85;1.598;0.585;-3.556;-3.431;-3.523;-4.141;1.66;6.526
3.912;1.644;-0.271;-2.912;1.569;0.676;-3.611;-3.448;-3.549;-4.131;1.699;6.565
3.997;1.739;-0.261;-3.003;1.608;0.732;-3.667;-3.471;-3.595;-4.127;1.739;6.614
3.997;1.712;-0.288;-2.99;1.621;0.706;-3.722;-3.523;-3.67;-4.15;1.768;6.657
4.069;1.748;-0.324;-3.042;1.673;0.706;-3.765;-3.565;-3.663;-4.134;1.837;6.732
4.141;1.84;-0.304;-3.124;1.699;0.761;-3.81;-3.614;-3.65;-4.111;1.915;6.81
4.15;1.843;-0.31;-3.131;1.709;0.758;-3.853;-3.68;-3.644;-4.114;1.961;6.876
4.239;1.931;-0.31;-3.219;1.752;0.804;-3.882;-3.719;-3.637;-4.088;2.069;7
4.225;1.902;-0.327;-3.199;1.755;0.781;-3.912;-3.775;-3.66;-4.095;2.105;7.046
4.147;1.873;-0.278;-3.144;1.69;0.791;-3.928;-3.827;-3.706;-4.127;2.121;7.069
4.216;1.876;-0.343;-3.18;1.758;0.758;-3.899;-3.817;-3.719;-4.16;2.085;7.042
4.111;1.771;-0.343;-3.075;1.706;0.706;-3.866;-3.83;-3.771;-4.235;2.026;6.977
4.108;1.725;-0.386;-3.052;1.725;0.663;-3.853;-3.84;-3.837;-4.333;1.977;6.915
4.003;1.706;-0.301;-2.99;1.631;0.696;-3.807;-3.814;-3.853;-4.382;1.958;6.892
3.948;1.611;-0.34;-2.915;1.621;0.627;-3.784;-3.794;-3.873;-4.438;1.889;6.817
3.928;1.595;-0.337;-2.895;1.611;0.621;-3.794;-3.791;-3.895;-4.49;1.814;6.725
3.899;1.578;-0.324;-2.873;1.588;0.618;-3.775;-3.765;-3.873;-4.503;1.791;6.703
3.882;1.572;-0.314;-2.863;1.575;0.621;-3.745;-3.729;-3.82;-4.497;1.771;6.676
3.915;1.611;-0.307;-2.899;1.588;0.644;-3.732;-3.709;-3.807;-4.503;1.735;6.641
3.81;1.533;-0.281;-2.807;1.523;0.618;-3.703;-3.693;-3.81;-4.526;1.69;6.592
3.879;1.5;-0.382;-2.824;1.608;0.549;-3.68;-3.693;-3.817;-4.52;1.641;6.539
3.853;1.484;-0.373;-2.804;1.592;0.546;-3.598;-3.631;-3.781;-4.467;1.673;6.565
3.899;1.448;-0.454;-2.807;1.654;0.487;-3.585;-3.614;-3.784;-4.474;1.627;6.513
3.902;1.448;-0.458;-2.81;1.657;0.487;-3.559;-3.592;-3.791;-4.474;1.608;6.49
3.912;1.369;-0.546;-2.775;1.706;0.402;-3.575;-3.624;-3.853;-4.529;1.559;6.415
3.824;1.34;-0.487;-2.716;1.634;0.418;-3.542;-3.611;-3.856;-4.52;1.578;6.435
3.807;1.346;-0.464;-2.712;1.614;0.431;-3.474;-3.542;-3.807;-4.474;1.569;6.399
3.824;1.317;-0.51;-2.706;1.644;0.395;-3.337;-3.35;-3.627;-4.34;1.497;6.314
3.752;1.359;-0.395;-2.69;1.552;0.474;-3.065;-2.961;-3.203;-4.007;1.536;6.297
3.765;1.529;-0.239;-2.781;1.48;0.637;-2.964;-2.771;-2.902;-3.729;1.631;6.327
3.69;1.68;-0.013;-2.82;1.33;0.824;-2.974;-2.775;-2.817;-3.595;1.745;6.389
3.676;1.719;0.039;-2.833;1.297;0.869;-3.049;-2.908;-2.987;-3.712;1.716;6.346
3.572;1.546;-0.029;-2.693;1.278;0.748;-3.052;-3.059;-3.255;-3.99;1.477;6.127
3.784;1.092;-0.696;-2.572;1.719;0.19;-3.056;-2.915;-3.382;-4.301;0.964;5.65
3.99;0.889;-1.105;-2.575;2.026;-0.118;-2.984;-2.523;-3.127;-4.239;0.722;5.373
3.886;0.902;-0.987;-2.529;1.915;-0.052;-2.771;-2.212;-2.745;-3.925;0.771;5.307
3.696;1.546;-0.154;-2.755;1.402;0.686;-2.922;-2.399;-2.67;-3.67;1.261;5.784
3.755;1.804;0.046;-2.915;1.333;0.915;-3.039;-2.539;-2.565;-3.327;1.676;6.232
3.827;1.876;0.046;-2.987;1.369;0.951;-3.212;-2.81;-2.703;-3.245;2.01;6.608
3.778;1.781;0;-2.915;1.366;0.882;-3.382;-3.186;-3.17;-3.696;1.895;6.627
3.807;1.533;-0.278;-2.804;1.52;0.618;-3.461;-3.422;-3.585;-4.199;1.542;6.389
3.82;1.539;-0.284;-2.814;1.529;0.618;-3.516;-3.51;-3.732;-4.363;1.431;6.32
3.81;1.542;-0.271;-2.81;1.52;0.627;-3.516;-3.52;-3.761;-4.366;1.451;6.34
3.725;1.461;-0.268;-2.729;1.474;0.588;-3.507;-3.536;-3.788;-4.376;1.444;6.33
3.82;1.487;-0.337;-2.788;1.556;0.565;-3.516;-3.536;-3.817;-4.405;1.369;6.271
3.788;1.529;-0.261;-2.794;1.503;0.624;-3.51;-3.533;-3.827;-4.415;1.379;6.281
3.879;1.578;-0.304;-2.863;1.569;0.627;-3.507;-3.526;-3.85;-4.418;1.412;6.324
3.817;1.542;-0.278;-2.814;1.526;0.624;-3.5;-3.52;-3.84;-4.405;1.415;6.327
3.739;1.542;-0.199;-2.775;1.448;0.663;-3.51;-3.526;-3.83;-4.379;1.464;6.356
3.895;1.562;-0.337;-2.863;1.595;0.605;-3.533;-3.526;-3.797;-4.359;1.461;6.363
3.886;1.559;-0.33;-2.856;1.585;0.605;-3.546;-3.523;-3.768;-4.35;1.435;6.33
3.85;1.601;-0.252;-2.859;1.529;0.667;-3.539;-3.477;-3.686;-4.278;1.477;6.379
3.954;1.637;-0.32;-2.931;1.614;0.65;-3.569;-3.454;-3.627;-4.216;1.513;6.405
3.928;1.641;-0.291;-2.918;1.588;0.667;-3.598;-3.415;-3.533;-4.147;1.533;6.386
4.033;1.722;-0.314;-3.013;1.65;0.696;-3.582;-3.317;-3.399;-4.029;1.605;6.422
4.059;1.745;-0.317;-3.036;1.667;0.706;-3.582;-3.265;-3.324;-3.987;1.585;6.392
4.026;1.693;-0.337;-2.993;1.66;0.67;-3.601;-3.271;-3.304;-4.007;1.516;6.337
3.935;1.699;-0.239;-2.951;1.565;0.722;-3.565;-3.252;-3.278;-4;1.598;6.379
3.931;1.706;-0.229;-2.954;1.559;0.729;-3.549;-3.252;-3.31;-4.039;1.598;6.382
3.967;1.654;-0.317;-2.944;1.621;0.66;-3.542;-3.304;-3.395;-4.108;1.533;6.317
3.869;1.611;-0.261;-2.876;1.542;0.667;-3.52;-3.333;-3.536;-4.167;1.49;6.288
3.833;1.631;-0.206;-2.866;1.497;0.703;-3.5;-3.359;-3.637;-4.203;1.546;6.337
3.846;1.618;-0.232;-2.866;1.516;0.683;-3.487;-3.395;-3.686;-4.265;1.516;6.314
3.82;1.588;-0.235;-2.84;1.507;0.667;-3.51;-3.464;-3.719;-4.34;1.474;6.265
3.797;1.598;-0.203;-2.833;1.477;0.69;-3.477;-3.451;-3.699;-4.359;1.408;6.225
3.761;1.585;-0.18;-2.807;1.448;0.693;-3.454;-3.444;-3.663;-4.366;1.428;6.239
3.81;1.601;-0.212;-2.84;1.49;0.686;-3.474;-3.474;-3.663;-4.389;1.428;6.248
3.771;1.585;-0.19;-2.814;1.458;0.69;-3.461;-3.474;-3.654;-4.382;1.412;6.245
3.758;1.552;-0.209;-2.791;1.461;0.663;-3.474;-3.52;-3.67;-4.418;1.425;6.235
3.739;1.546;-0.196;-2.778;1.444;0.667;-3.461;-3.49;-3.634;-4.389;1.458;6.265
3.735;1.611;-0.127;-2.807;1.408;0.732;-3.438;-3.484;-3.631;-4.399;1.369;6.222
3.699;1.627;-0.075;-2.797;1.366;0.768;-3.507;-3.562;-3.765;-4.5;1.239;6.098
3.716;1.716;-0.003;-2.85;1.337;0.846;-3.556;-3.614;-3.876;-4.559;1.235;6.095
3.696;1.873;0.173;-2.918;1.239;1.013;-3.592;-3.657;-3.984;-4.621;1.248;6.114
3.706;1.899;0.19;-2.938;1.235;1.036;-3.585;-3.65;-4.075;-4.65;1.245;6.111
3.742;1.81;0.065;-2.912;1.317;0.928;-3.536;-3.614;-4.095;-4.647;1.248;6.131
3.729;1.69;-0.042;-2.843;1.363;0.814;-3.513;-3.592;-4.056;-4.647;1.294;6.19
3.66;1.611;-0.052;-2.771;1.333;0.771;-3.49;-3.569;-4.013;-4.637;1.324;6.219
3.709;1.559;-0.154;-2.768;1.408;0.693;-3.51;-3.582;-4.01;-4.654;1.301;6.206
3.686;1.49;-0.199;-2.722;1.422;0.637;-3.516;-3.569;-3.977;-4.654;1.291;6.183
3.722;1.529;-0.196;-2.761;1.438;0.657;-3.507;-3.539;-3.922;-4.601;1.333;6.232
3.801;1.464;-0.34;-2.768;1.549;0.552;-3.51;-3.526;-3.889;-4.585;1.314;6.255
3.797;1.216;-0.585;-2.641;1.67;0.307;-3.333;-3.32;-3.699;-4.451;1.337;6.288
3.974;1.144;-0.833;-2.693;1.882;0.147;-3.356;-3.167;-3.513;-4.242;1.484;6.461
4.219;1.876;-0.346;-3.183;1.761;0.758;-3.788;-3.222;-3.003;-3.435;2.363;7.32
4.722;1.98;-0.745;-3.487;2.212;0.611;-3.778;-2.595;-2.176;-2.69;2.631;7.5
4.392;1.797;-0.598;-3.229;1.974;0.592;-3.487;-2.595;-2.356;-2.908;2.435;7.203
3.912;1.252;-0.663;-2.716;1.765;0.284;-3.144;-2.843;-2.866;-3.549;1.882;6.634
3.585;0.882;-0.706;-2.369;1.624;0.078;-3.016;-3.082;-3.284;-4.013;1.582;6.366
3.51;0.706;-0.807;-2.242;1.637;-0.059;-3.026;-3.183;-3.412;-4.127;1.516;6.35
3.592;0.614;-0.98;-2.239;1.765;-0.193;-3.134;-3.252;-3.431;-4.127;1.529;6.405
3.663;0.765;-0.902;-2.35;1.761;-0.078;-3.216;-3.307;-3.458;-4.114;1.598;6.51
3.621;1.042;-0.582;-2.467;1.578;0.222;-3.291;-3.382;-3.523;-4.193;1.542;6.461
3.608;1.275;-0.337;-2.575;1.451;0.461;-3.379;-3.474;-3.585;-4.275;1.471;6.392
3.683;1.356;-0.33;-2.654;1.484;0.503;-3.438;-3.542;-3.618;-4.317;1.402;6.33
3.614;1.395;-0.222;-2.641;1.395;0.578;-3.431;-3.539;-3.683;-4.284;1.399;6.346
3.709;1.464;-0.248;-2.722;1.458;0.598;-3.48;-3.565;-3.709;-4.268;1.464;6.418
3.716;1.526;-0.193;-2.755;1.431;0.657;-3.516;-3.578;-3.739;-4.284;1.464;6.415
3.768;1.569;-0.203;-2.804;1.464;0.673;-3.556;-3.546;-3.735;-4.301;1.471;6.428
3.882;1.575;-0.31;-2.863;1.575;0.624;-3.624;-3.562;-3.778;-4.343;1.471;6.441
3.837;1.601;-0.239;-2.853;1.516;0.673;-3.624;-3.552;-3.771;-4.337;1.516;6.487
3.771;1.657;-0.118;-2.85;1.422;0.761;-3.621;-3.536;-3.732;-4.307;1.582;6.523
3.794;1.686;-0.111;-2.876;1.431;0.778;-3.614;-3.523;-3.703;-4.291;1.627;6.552
3.778;1.667;-0.114;-2.856;1.425;0.768;-3.552;-3.5;-3.68;-4.297;1.605;6.536
3.797;1.66;-0.141;-2.863;1.448;0.752;-3.52;-3.497;-3.68;-4.327;1.467;6.438
3.696;1.618;-0.082;-2.791;1.366;0.758;-3.448;-3.464;-3.667;-4.324;1.5;6.428
3.693;1.627;-0.069;-2.794;1.359;0.771;-3.428;-3.461;-3.667;-4.327;1.578;6.526
3.641;1.588;-0.056;-2.748;1.327;0.758;-3.379;-3.448;-3.663;-4.34;1.621;6.562
3.641;1.556;-0.088;-2.732;1.343;0.725;-3.369;-3.451;-3.686;-4.366;1.552;6.497
3.663;1.467;-0.199;-2.699;1.408;0.624;-3.431;-3.507;-3.765;-4.438;1.471;6.422
3.693;1.523;-0.173;-2.742;1.412;0.667;-3.422;-3.467;-3.771;-4.412;1.444;6.389
3.585;1.503;-0.085;-2.68;1.314;0.699;-3.395;-3.441;-3.781;-4.402;1.487;6.448
3.65;1.549;-0.105;-2.735;1.356;0.712;-3.441;-3.474;-3.824;-4.412;1.513;6.484
3.627;1.507;-0.124;-2.703;1.353;0.683;-3.464;-3.477;-3.846;-4.395;1.536;6.503
3.654;1.536;-0.121;-2.729;1.366;0.699;-3.48;-3.484;-3.859;-4.402;1.484;6.477
3.654;1.523;-0.134;-2.722;1.373;0.686;-3.497;-3.5;-3.856;-4.386;1.52;6.497
3.595;1.487;-0.111;-2.676;1.33;0.68;-3.51;-3.523;-3.84;-4.366;1.51;6.474
3.752;1.592;-0.163;-2.807;1.435;0.706;-3.52;-3.552;-3.827;-4.359;1.415;6.431
3.68;1.503;-0.18;-2.725;1.408;0.654;-3.533;-3.585;-3.837;-4.359;1.408;6.395
3.716;1.575;-0.144;-2.781;1.408;0.706;-3.487;-3.536;-3.771;-4.297;1.461;6.464
3.641;1.52;-0.124;-2.716;1.359;0.69;-3.461;-3.523;-3.742;-4.258;1.477;6.461
3.654;1.493;-0.163;-2.709;1.386;0.657;-3.477;-3.542;-3.761;-4.271;1.51;6.49
3.585;1.467;-0.121;-2.66;1.33;0.663;-3.477;-3.542;-3.771;-4.281;1.474;6.428
3.729;1.513;-0.219;-2.755;1.451;0.637;-3.536;-3.559;-3.788;-4.297;1.467;6.435
3.65;1.513;-0.141;-2.716;1.373;0.676;-3.507;-3.529;-3.765;-4.271;1.493;6.448
3.686;1.539;-0.15;-2.748;1.395;0.686;-3.523;-3.526;-3.758;-4.275;1.5;6.451
3.654;1.503;-0.154;-2.712;1.382;0.667;-3.507;-3.493;-3.719;-4.252;1.497;6.431
3.67;1.474;-0.199;-2.706;1.412;0.627;-3.549;-3.523;-3.735;-4.271;1.52;6.444
3.66;1.487;-0.176;-2.709;1.395;0.647;-3.529;-3.487;-3.693;-4.242;1.507;6.412
3.722;1.52;-0.206;-2.755;1.441;0.647;-3.539;-3.484;-3.676;-4.232;1.484;6.399
3.676;1.458;-0.222;-2.703;1.428;0.608;-3.559;-3.497;-3.68;-4.225;1.49;6.392
3.676;1.451;-0.229;-2.699;1.431;0.601;-3.559;-3.477;-3.641;-4.203;1.52;6.412
3.739;1.552;-0.19;-2.781;1.441;0.673;-3.585;-3.461;-3.572;-4.186;1.549;6.428
3.745;1.572;-0.176;-2.794;1.438;0.69;-3.592;-3.428;-3.549;-4.147;1.552;6.431
3.765;1.621;-0.147;-2.827;1.435;0.729;-3.588;-3.376;-3.493;-4.062;1.562;6.418
3.837;1.693;-0.147;-2.899;1.471;0.765;-3.572;-3.284;-3.467;-3.935;1.637;6.467
3.853;1.716;-0.141;-2.918;1.474;0.778;-3.565;-3.206;-3.379;-3.824;1.716;6.526
3.899;1.663;-0.239;-2.915;1.546;0.703;-3.572;-3.173;-3.314;-3.781;1.699;6.5
3.869;1.683;-0.19;-2.912;1.507;0.739;-3.523;-3.131;-3.265;-3.735;1.758;6.542
3.863;1.66;-0.206;-2.895;1.513;0.719;-3.507;-3.147;-3.252;-3.758;1.771;6.559
3.895;1.644;-0.255;-2.905;1.552;0.686;-3.48;-3.167;-3.255;-3.797;1.761;6.549
3.804;1.572;-0.235;-2.824;1.497;0.66;-3.454;-3.219;-3.314;-3.869;1.693;6.487
3.814;1.529;-0.288;-2.807;1.529;0.611;-3.435;-3.271;-3.379;-3.944;1.644;6.435
3.778;1.497;-0.284;-2.771;1.51;0.598;-3.405;-3.297;-3.422;-3.997;1.65;6.454
3.758;1.474;-0.288;-2.752;1.5;0.585;-3.412;-3.353;-3.493;-4.075;1.627;6.438
3.725;1.458;-0.271;-2.725;1.477;0.585;-3.408;-3.363;-3.529;-4.114;1.621;6.438
3.696;1.454;-0.245;-2.709;1.448;0.595;-3.431;-3.395;-3.601;-4.18;1.595;6.412
3.65;1.444;-0.209;-2.683;1.408;0.608;-3.431;-3.405;-3.647;-4.222;1.605;6.425
3.683;1.431;-0.255;-2.693;1.448;0.578;-3.474;-3.438;-3.696;-4.265;1.585;6.399
3.676;1.399;-0.281;-2.673;1.458;0.549;-3.513;-3.477;-3.748;-4.33;1.552;6.373
3.66;1.425;-0.239;-2.676;1.428;0.585;-3.516;-3.471;-3.752;-4.333;1.565;6.395
3.631;1.399;-0.235;-2.65;1.412;0.572;-3.493;-3.461;-3.742;-4.33;1.546;6.382
3.663;1.392;-0.275;-2.663;1.448;0.549;-3.484;-3.467;-3.732;-4.34;1.556;6.395
3.614;1.422;-0.196;-2.654;1.382;0.605;-3.438;-3.467;-3.719;-4.337;1.546;6.386
3.69;1.382;-0.31;-2.67;1.477;0.526;-3.451;-3.5;-3.742;-4.359;1.513;6.356
3.663;1.412;-0.255;-2.673;1.438;0.569;-3.399;-3.461;-3.686;-4.307;1.542;6.386
3.673;1.363;-0.314;-2.654;1.471;0.516;-3.405;-3.471;-3.712;-4.324;1.507;6.346
3.641;1.271;-0.373;-2.592;1.484;0.441;-3.438;-3.513;-3.781;-4.363;1.467;6.307
3.696;1.307;-0.392;-2.637;1.523;0.448;-3.441;-3.503;-3.784;-4.369;1.471;6.31
3.667;1.294;-0.376;-2.614;1.5;0.451;-3.454;-3.516;-3.859;-4.422;1.458;6.294
3.631;1.31;-0.324;-2.605;1.454;0.484;-3.451;-3.52;-3.876;-4.399;1.461;6.297
3.686;1.346;-0.343;-2.65;1.493;0.493;-3.451;-3.513;-3.869;-4.376;1.461;6.294
3.709;1.353;-0.359;-2.667;1.513;0.487;-3.484;-3.542;-3.908;-4.405;1.438;6.294
3.791;1.343;-0.451;-2.703;1.598;0.438;-3.507;-3.51;-3.895;-4.422;1.379;6.297
3.889;1.301;-0.592;-2.729;1.719;0.346;-3.386;-3.288;-3.716;-4.294;1.395;6.343
3.987;1.34;-0.65;-2.797;1.797;0.337;-3.51;-3.239;-3.627;-4.19;1.458;6.454
4.353;2.212;-0.144;-3.418;1.725;1.026;-4.016;-3.386;-3.229;-3.461;2.265;7.255
4.807;2.265;-0.546;-3.67;2.154;0.853;-4.003;-2.866;-2.647;-2.922;2.373;7.265
4.379;2.16;-0.222;-3.405;1.778;0.961;-3.706;-2.948;-2.879;-3.219;2.167;6.964
3.892;1.735;-0.16;-2.948;1.503;0.778;-3.373;-3.114;-3.304;-3.791;1.67;6.451
3.634;1.444;-0.193;-2.673;1.392;0.618;-3.297;-3.297;-3.66;-4.216;1.369;6.203
3.582;1.451;-0.134;-2.65;1.337;0.65;-3.35;-3.412;-3.791;-4.356;1.324;6.173
3.637;1.418;-0.222;-2.663;1.408;0.588;-3.474;-3.497;-3.843;-4.395;1.34;6.229
3.634;1.49;-0.147;-2.696;1.369;0.663;-3.513;-3.539;-3.843;-4.366;1.408;6.32
3.657;1.493;-0.167;-2.709;1.389;0.654;-3.536;-3.556;-3.85;-4.359;1.399;6.31
3.686;1.533;-0.157;-2.745;1.399;0.68;-3.549;-3.565;-3.856;-4.34;1.435;6.343
3.683;1.48;-0.206;-2.716;1.422;0.627;-3.529;-3.536;-3.837;-4.33;1.412;6.327
3.739;1.536;-0.206;-2.771;1.451;0.657;-3.542;-3.539;-3.83;-4.314;1.431;6.356
3.67;1.493;-0.18;-2.716;1.402;0.647;-3.575;-3.598;-3.879;-4.356;1.373;6.33
3.781;1.641;-0.144;-2.846;1.441;0.739;-3.601;-3.592;-3.869;-4.346;1.422;6.359
3.853;1.68;-0.176;-2.902;1.493;0.742;-3.634;-3.595;-3.882;-4.356;1.444;6.389
3.791;1.588;-0.206;-2.824;1.477;0.683;-3.693;-3.634;-3.922;-4.373;1.454;6.415
3.863;1.582;-0.284;-2.856;1.552;0.641;-3.712;-3.631;-3.925;-4.379;1.402;6.386
3.856;1.683;-0.176;-2.905;1.493;0.745;-3.735;-3.618;-3.873;-4.327;1.467;6.428
3.843;1.69;-0.157;-2.902;1.477;0.758;-3.683;-3.565;-3.81;-4.284;1.471;6.435
3.81;1.634;-0.18;-2.856;1.474;0.719;-3.641;-3.588;-3.81;-4.288;1.49;6.422
3.761;1.572;-0.193;-2.801;1.454;0.68;-3.598;-3.572;-3.775;-4.271;1.467;6.379
3.758;1.578;-0.183;-2.804;1.448;0.69;-3.556;-3.539;-3.722;-4.248;1.422;6.35
3.755;1.529;-0.229;-2.778;1.471;0.641;-3.552;-3.552;-3.69;-4.284;1.415;6.337
3.735;1.529;-0.209;-2.768;1.451;0.65;-3.539;-3.552;-3.673;-4.297;1.438;6.356
